object_id,masao_label,jacky_label,nico_label,simran_label
201309021010004,real,unsure,,real
201309021010007,bogus,bogus,bogus,bogus
201309021010008,real,real,real,real
201309021010012,bogus,bogus,bogus,bogus
201309021010016,real,bogus,bogus,bogus
201309021010018,bogus,bogus,bogus,bogus
201309021010020,bogus,bogus,bogus,bogus
201309021010021,bogus,bogus,bogus,bogus
201309021010023,bogus,bogus,bogus,bogus
201309021010024,bogus,bogus,bogus,bogus
201309021010026,bogus,bogus,bogus,bogus
201309021010029,real,real,real,real
201309021010030,bogus,bogus,bogus,bogus
201309021010032,bogus,bogus,bogus,bogus
201309021010034,bogus,bogus,bogus,bogus
201309021010037,bogus,bogus,bogus,bogus
201309021010038,bogus,bogus,bogus,bogus
201309021010045,bogus,bogus,bogus,bogus
201309021010049,bogus,bogus,bogus,bogus
201309021010050,bogus,bogus,bogus,unsure
201309021010051,bogus,bogus,bogus,bogus
201309021010056,bogus,bogus,bogus,bogus
201309021010057,bogus,bogus,bogus,bogus
201309021010058,bogus,bogus,bogus,bogus
201309021010060,bogus,bogus,bogus,bogus
201309021010066,bogus,bogus,bogus,bogus
201309021010068,bogus,bogus,bogus,bogus
201309021010070,bogus,bogus,bogus,bogus
201309021010071,real,bogus,bogus,unsure
201309021010076,real,real,real,real
201309021010078,real,real,real,real
201309021010079,bogus,bogus,,unsure
201309021010080,bogus,bogus,bogus,unsure
201309021010082,bogus,bogus,bogus,bogus
201309021010083,bogus,bogus,bogus,bogus
201309021010091,bogus,bogus,bogus,bogus
201309021010097,real,unsure,bogus,unsure
201309021010100,bogus,bogus,bogus,bogus
201309021010103,bogus,bogus,bogus,bogus
201309021010105,bogus,bogus,bogus,bogus
201309021010106,real,real,bogus,real
201309021010107,bogus,bogus,bogus,bogus
201309021010109,real,unsure,bogus,real
201309021010111,bogus,bogus,bogus,bogus
201309021010122,unsure,unsure,bogus,bogus
201309021010127,bogus,bogus,bogus,bogus
201309021010132,bogus,bogus,bogus,bogus
201309021010133,bogus,bogus,bogus,bogus
201309021010134,unsure,unsure,bogus,bogus
201309021010135,bogus,bogus,bogus,bogus
201309021010140,real,real,real,real
201309021010144,bogus,bogus,bogus,bogus
201309021010148,unsure,bogus,bogus,bogus
201309021010149,bogus,bogus,bogus,bogus
201309021010155,real,real,real,real
201309021010156,bogus,bogus,bogus,bogus
201309021010161,bogus,bogus,bogus,unsure
201309021010162,real,real,real,real
201309021010163,bogus,bogus,bogus,bogus
201309021010165,bogus,bogus,bogus,bogus
201309021010167,bogus,bogus,bogus,bogus
201309021010172,bogus,bogus,bogus,bogus
201309021010175,bogus,bogus,bogus,bogus
201309021010177,bogus,bogus,bogus,bogus
201309021010183,unsure,bogus,bogus,bogus
201309021010184,bogus,bogus,bogus,bogus
201309021010188,real,real,real,real
201309021010194,bogus,bogus,bogus,bogus
201309022010005,real,unsure,,real
201309022010007,bogus,bogus,bogus,bogus
201309022010009,real,real,real,real
201309022010010,bogus,bogus,bogus,bogus
201309022010015,bogus,bogus,bogus,bogus
201309022010017,bogus,bogus,bogus,bogus
201309022010019,bogus,bogus,,bogus
201309022010020,bogus,bogus,real,unsure
201309022010022,unsure,unsure,bogus,bogus
201309022010023,real,real,real,real
201309022010027,bogus,bogus,bogus,bogus
201309022010033,bogus,bogus,bogus,bogus
201309022010036,unsure,bogus,,bogus
201309022010041,bogus,bogus,bogus,bogus
201309022010047,unsure,unsure,bogus,bogus
201309022010048,bogus,bogus,bogus,bogus
201309022010051,real,unsure,bogus,bogus
201309022010053,bogus,bogus,bogus,bogus
201309022010054,bogus,bogus,bogus,bogus
201309022010057,bogus,bogus,bogus,bogus
201309022010058,real,real,real,real
201309022010059,real,real,real,real
201309022010060,real,real,,unsure
201309022010061,unsure,bogus,bogus,bogus
201309022010062,bogus,bogus,bogus,bogus
201309022010064,bogus,bogus,bogus,bogus
201309022010065,unsure,unsure,bogus,bogus
201309022010067,bogus,bogus,bogus,bogus
201309022010068,bogus,bogus,bogus,bogus
201309022010069,bogus,bogus,bogus,bogus
201309022010072,bogus,bogus,bogus,bogus
201309022010073,bogus,bogus,bogus,bogus
201309022010074,bogus,bogus,bogus,bogus
201309022010075,bogus,bogus,bogus,bogus
201309022010076,real,unsure,,real
201309022010077,bogus,bogus,bogus,bogus
201309022010082,unsure,unsure,bogus,bogus
201309022010086,real,real,,real
201309022010089,real,bogus,bogus,bogus
201309022010090,unsure,bogus,bogus,bogus
201309022010091,bogus,bogus,bogus,bogus
201309022010093,bogus,bogus,bogus,bogus
201309022010094,bogus,bogus,bogus,bogus
201309022010095,bogus,bogus,bogus,bogus
201309022010096,bogus,bogus,bogus,bogus
201309022010098,unsure,bogus,bogus,bogus
201309022010106,bogus,bogus,bogus,bogus
201309022010107,bogus,bogus,bogus,bogus
201309022010109,bogus,bogus,bogus,bogus
201309022010111,bogus,bogus,bogus,bogus
201309022010115,bogus,bogus,bogus,bogus
201309022010117,bogus,bogus,bogus,bogus
201309022010120,real,unsure,bogus,bogus
201309022010122,bogus,bogus,bogus,bogus
201309022010123,bogus,bogus,bogus,bogus
201309022010124,bogus,bogus,bogus,bogus
201309022010125,unsure,bogus,bogus,bogus
201309022010126,bogus,bogus,bogus,bogus
201309022010129,real,real,real,real
201309022010130,bogus,bogus,bogus,bogus
201309022010134,unsure,bogus,bogus,bogus
201309022010135,bogus,bogus,bogus,bogus
201309022010136,bogus,bogus,bogus,bogus
201309022010142,bogus,bogus,bogus,bogus
201309022010147,bogus,bogus,bogus,bogus
201309022010148,bogus,bogus,bogus,bogus
201309022010149,bogus,bogus,bogus,bogus
201309022010151,real,real,real,real
201309022010152,bogus,bogus,bogus,bogus
201309022010153,bogus,bogus,bogus,bogus
201309022010154,bogus,bogus,bogus,bogus
201309022010158,bogus,bogus,bogus,bogus
201309022010160,bogus,bogus,bogus,bogus
201309022010162,bogus,bogus,bogus,bogus
201309022010164,bogus,bogus,bogus,bogus
201309022010165,bogus,bogus,bogus,bogus
201309022010166,bogus,bogus,bogus,bogus
201309022010167,bogus,bogus,bogus,bogus
201309022010170,bogus,bogus,bogus,bogus
201309022010171,bogus,bogus,bogus,bogus
201309022010172,real,real,real,real
201309022010173,bogus,bogus,bogus,bogus
201309022010176,unsure,bogus,bogus,bogus
201309022010177,bogus,bogus,bogus,bogus
201309022010178,bogus,bogus,bogus,bogus
201309022010180,bogus,bogus,bogus,bogus
201309022010181,bogus,bogus,bogus,bogus
201309022010182,bogus,bogus,bogus,bogus
201309022010184,bogus,bogus,bogus,bogus
201309022010185,bogus,bogus,bogus,bogus
201309022010186,bogus,bogus,bogus,bogus
201309022010187,bogus,bogus,bogus,bogus
201309022010188,unsure,unsure,bogus,bogus
201309022010189,bogus,bogus,bogus,bogus
201309022010191,real,real,real,real
201309022010193,bogus,bogus,bogus,bogus
201309022010195,bogus,bogus,bogus,bogus
201309022010196,bogus,bogus,bogus,bogus
201309022010200,bogus,bogus,bogus,bogus
201309022010201,bogus,bogus,bogus,bogus
201309022010202,bogus,bogus,bogus,bogus
201309023010002,bogus,bogus,bogus,bogus
201309023010008,unsure,bogus,bogus,bogus
201309023010009,unsure,bogus,bogus,bogus
201309023010010,bogus,real,bogus,unsure
201309023010011,real,real,real,real
201309023010012,unsure,bogus,bogus,bogus
201309023010021,unsure,bogus,bogus,bogus
201309023010025,unsure,unsure,bogus,bogus
201309023010027,bogus,bogus,bogus,bogus
201309023010028,real,real,real,real
201309023010030,bogus,bogus,bogus,bogus
201309023010031,bogus,bogus,bogus,bogus
201309023010032,unsure,bogus,bogus,bogus
201309023010033,bogus,bogus,bogus,bogus
201309023010035,bogus,bogus,bogus,bogus
201309023010036,bogus,bogus,bogus,bogus
201309023010037,bogus,bogus,bogus,bogus
201309023010042,bogus,bogus,bogus,bogus
201309023010044,unsure,unsure,bogus,unsure
201309023010045,bogus,bogus,bogus,bogus
201309023010048,bogus,bogus,bogus,bogus
201309023010050,bogus,bogus,bogus,bogus
201309023010051,bogus,bogus,bogus,bogus
201309023010052,unsure,bogus,bogus,bogus
201309023010053,bogus,bogus,bogus,bogus
201309023010054,bogus,bogus,bogus,bogus
201309023010056,bogus,bogus,bogus,bogus
201309023010057,unsure,bogus,bogus,bogus
201309023010058,bogus,bogus,bogus,bogus
201309023010063,bogus,bogus,bogus,bogus
201309023010064,bogus,bogus,bogus,bogus
201309023010065,bogus,bogus,bogus,bogus
201309023010068,bogus,bogus,bogus,bogus
201309023010069,real,real,real,real
201309023010070,real,real,real,real
201309023010071,real,real,,real
201309023010072,bogus,bogus,bogus,bogus
201309023010073,bogus,bogus,bogus,bogus
201309023010074,bogus,bogus,bogus,bogus
201309023010075,unsure,bogus,bogus,bogus
201309023010076,bogus,bogus,bogus,bogus
201309023010078,unsure,unsure,bogus,bogus
201309023010079,bogus,bogus,bogus,unsure
201309023010080,bogus,bogus,bogus,bogus
201309023010081,bogus,bogus,bogus,bogus
201309023010082,bogus,bogus,bogus,bogus
201309023010083,bogus,bogus,bogus,bogus
201309023010084,bogus,bogus,bogus,bogus
201309023010085,real,bogus,bogus,bogus
201309023010086,unsure,bogus,bogus,bogus
201309023010090,unsure,unsure,bogus,unsure
201309023010091,bogus,bogus,bogus,bogus
201309023010093,bogus,bogus,bogus,bogus
201309023010095,bogus,bogus,bogus,bogus
201309023010097,real,real,,real
201309023010099,bogus,bogus,bogus,bogus
201309023010100,unsure,real,bogus,bogus
201309023010101,bogus,bogus,bogus,bogus
201309023010102,bogus,bogus,bogus,bogus
201309023010103,bogus,bogus,bogus,bogus
201309023010104,bogus,bogus,bogus,bogus
201309023010105,bogus,bogus,bogus,bogus
201309023010106,bogus,bogus,bogus,bogus
201309023010111,bogus,bogus,bogus,bogus
