class,n,K_pct,p_follow_proxy_ef,p_follow_proxy_ef_lo,p_follow_proxy_ef_hi,ensemble_p_snia_ef,ensemble_p_snia_ef_lo,ensemble_p_snia_ef_hi,best_local_p_snia_ef,best_local_p_snia_ef_lo,best_local_p_snia_ef_hi,random_ef,random_ef_lo,random_ef_hi
Gaia stars,9937,0.5,0.8064,0.6217,0.9863,0.6785,0.4858,0.8728,0.4579,0.2999,0.6358,0.9171,0.7426,1.086
Gaia stars,9937,1.0,0.8677,0.7502,0.9901,0.6872,0.5632,0.8235,0.5405,0.4177,0.6667,0.9102,0.782,1.0381
Gaia stars,9937,2.0,0.71,0.6203,0.7961,0.7236,0.6351,0.8105,0.584,0.5039,0.6668,0.9558,0.8686,1.0399
Gaia stars,9937,5.0,0.7598,0.7055,0.8167,0.8063,0.746,0.8652,0.6359,0.5847,0.6911,1.0046,0.9493,1.0604
Gaia variables,226,0.5,5.3068,1.6876,9.8361,1.602,0.0,4.4053,4.1318,0.8929,8.1085,0.0,0.0,0.0
Gaia variables,226,1.0,3.8544,1.4019,6.4815,3.449,1.3099,5.8297,4.0442,1.7688,6.8632,0.0263,0.0,0.4526
Gaia variables,226,2.0,3.1671,1.5975,4.7416,2.7669,1.4149,4.2988,3.5621,1.9733,5.2139,0.943,0.2174,1.9323
Gaia variables,226,5.0,2.5447,1.6805,3.4696,1.9349,1.2092,2.703,3.0232,2.1223,3.9835,0.8108,0.3463,1.3209
SIMBAD Galaxy,402,0.5,0.0,0.0,0.0,0.0,0.0,0.0,9.5606,6.0147,13.4027,0.9925,0.0,2.5126
SIMBAD Galaxy,402,1.0,0.2514,0.0,0.7834,0.3362,0.0,1.0526,6.6685,4.5444,9.0502,1.0286,0.2392,2.1742
SIMBAD Galaxy,402,2.0,0.9255,0.348,1.6418,1.0416,0.3816,1.7978,4.2042,3.0,5.4617,1.2226,0.5102,2.0048
SIMBAD Galaxy,402,5.0,1.5766,1.0769,2.1278,1.6059,1.0852,2.1355,2.6812,2.0689,3.3945,0.9208,0.5313,1.3521
SIMBAD AGN/QSO,79,0.5,7.4277,0.0,15.6276,4.7642,0.0,11.9057,7.4604,0.0,16.6667,0.0,0.0,0.0
SIMBAD AGN/QSO,79,1.0,4.2282,0.0,9.3333,4.9458,1.1628,9.8765,8.761,3.0758,15.6639,0.0529,0.0,1.2199
SIMBAD AGN/QSO,79,2.0,4.1284,1.4085,7.5015,3.1161,0.6408,6.0992,9.7193,5.6962,14.2066,1.2322,0.0,3.2897
SIMBAD AGN/QSO,79,5.0,3.5783,1.9713,5.406,2.5141,1.1582,4.0967,6.2312,4.2663,8.3957,1.7275,0.5195,3.0593
EclBin+RRLyrae,52,0.5,11.3147,0.0,25.0,0.0,0.0,0.0,6.5049,0.0,19.2378,0.0,0.0,0.0
EclBin+RRLyrae,52,1.0,7.9413,1.8174,16.1328,1.4649,0.0,5.9709,7.6758,1.6949,15.6265,0.0,0.0,0.0
EclBin+RRLyrae,52,2.0,5.6986,1.6618,10.1857,3.4351,0.0,7.6309,5.7022,1.8519,10.4167,0.3316,0.0,2.5
EclBin+RRLyrae,52,5.0,3.8335,1.7852,6.2229,2.7154,1.0336,4.7834,4.3146,2.2725,6.7797,0.7742,0.0,2.0
Published SNe,14,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Published SNe,14,1.0,2.8362,0.0,18.7812,0.0,0.0,0.0,6.7488,0.0,25.0,0.0,0.0,0.0
Published SNe,14,2.0,6.7666,0.0,16.6667,2.8116,0.0,10.7242,7.147,0.0,17.8571,0.0,0.0,0.0
Published SNe,14,5.0,2.8891,0.0,7.1429,2.8527,0.0,7.2727,5.638,0.9524,10.7692,1.4768,0.0,5.0
Unlabeled,5164,0.5,1.2704,0.9363,1.6057,1.6147,1.2651,1.9767,1.0508,0.7326,1.3608,1.1435,0.8189,1.4629
Unlabeled,5164,1.0,1.217,1.0006,1.4454,1.5692,1.329,1.8168,1.1324,0.9129,1.372,1.1702,0.9388,1.4052
Unlabeled,5164,2.0,1.4617,1.2843,1.6278,1.4605,1.286,1.629,1.2685,1.1056,1.436,1.0598,0.9019,1.2066
Unlabeled,5164,5.0,1.3496,1.2483,1.4566,1.2847,1.1808,1.3994,1.4127,1.3087,1.5222,0.9832,0.8851,1.0809
