class,n,K_pct,p_follow_proxy_ef,p_follow_proxy_ef_lo,p_follow_proxy_ef_hi,ensemble_p_snia_ef,ensemble_p_snia_ef_lo,ensemble_p_snia_ef_hi,best_local_p_snia_ef,best_local_p_snia_ef_lo,best_local_p_snia_ef_hi,random_ef,random_ef_lo,random_ef_hi
Gaia stars,1470,0.5,0.8234,0.2759,1.3803,0.4847,0.1279,0.9756,0.3704,0.0,0.8253,0.985,0.4118,1.6108
Gaia stars,1470,1.0,0.893,0.4917,1.2736,0.5164,0.1996,0.8604,0.5081,0.1373,0.8778,0.8666,0.5144,1.2636
Gaia stars,1470,2.0,0.8858,0.6211,1.1558,0.6513,0.4132,0.8917,0.6302,0.3618,0.9047,0.8803,0.6056,1.1678
Gaia stars,1470,5.0,0.9411,0.7619,1.1058,0.754,0.5982,0.9166,0.7336,0.5786,0.9128,0.9688,0.7989,1.1471
Gaia variables,76,0.5,3.5379,0.0,10.393,5.6082,0.0,13.8905,2.7277,0.0,8.6045,2.2298,0.0,8.0
Gaia variables,76,1.0,3.679,0.0,8.4507,4.0051,0.0,9.2136,2.4637,0.0,6.25,1.3615,0.0,4.5999
Gaia variables,76,2.0,3.5163,0.8193,6.6275,2.2756,0.0,5.1145,2.81,0.6325,5.3571,1.3587,0.0,3.4247
Gaia variables,76,5.0,3.0941,1.4631,4.7372,3.2268,1.609,4.8847,2.642,1.1901,4.2701,1.7729,0.6342,3.2437
SIMBAD Galaxy,194,0.5,0.0,0.0,0.0,0.0261,0.0,0.0,7.4673,3.5473,12.0015,4.1731,0.9803,8.3355
SIMBAD Galaxy,194,1.0,0.0,0.0,0.0,0.8595,0.0,2.4393,5.3196,2.7391,8.1226,2.5594,0.5376,4.7625
SIMBAD Galaxy,194,2.0,0.2544,0.0,0.8197,0.8815,0.0,1.9324,4.7874,2.97,6.7842,1.4514,0.4807,2.8038
SIMBAD Galaxy,194,5.0,0.4184,0.0844,0.9428,1.1503,0.5464,1.8184,3.0768,2.1247,4.1178,1.0044,0.4276,1.5741
SIMBAD AGN/QSO,43,0.5,4.7481,0.0,16.335,9.1161,0.0,23.2627,5.3751,0.0,16.6667,0.0,0.0,0.0
SIMBAD AGN/QSO,43,1.0,2.3889,0.0,7.6923,4.7445,0.0,11.9048,6.8806,0.0,16.0054,0.0,0.0,0.0
SIMBAD AGN/QSO,43,2.0,2.6666,0.0,6.5811,2.4583,0.0,6.25,3.5474,0.0,7.7778,0.0,0.0,0.0
SIMBAD AGN/QSO,43,5.0,3.1927,1.3043,5.5008,3.7848,1.6211,6.1913,4.0625,1.7143,6.5155,0.6608,0.0,2.0526
EclBin+RRLyrae,20,0.5,10.2822,0.0,33.3333,10.9243,0.0,35.3209,9.6449,0.0,31.5789,0.0,0.0,0.0
EclBin+RRLyrae,20,1.0,9.5062,0.0,23.8095,9.859,0.0,25.0,5.0768,0.0,16.6667,0.0,0.0,0.0
EclBin+RRLyrae,20,2.0,7.4731,0.0,16.6667,5.8839,0.0,13.3333,3.7961,0.0,11.1111,0.0,0.0,0.0
EclBin+RRLyrae,20,5.0,4.26,1.0,8.0,4.0359,0.9513,8.0045,4.3583,1.0526,8.3333,0.9737,0.0,3.3333
Published SNe,8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Published SNe,8,1.0,0.0,0.0,0.0,0.0354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Published SNe,8,2.0,0.0,0.0,0.0,6.1398,0.0,20.0357,0.0,0.0,0.0,0.0,0.0,0.0
Published SNe,8,5.0,2.5188,0.0,8.5714,2.6392,0.0,8.5794,2.419,0.0,8.0,0.0,0.0,0.0
Unlabeled,1748,0.5,1.139,0.6869,1.6027,1.3062,0.8023,1.7536,0.5164,0.1148,0.9335,0.7861,0.3374,1.2731
Unlabeled,1748,1.0,1.0863,0.739,1.4302,1.2358,0.9227,1.5421,0.6376,0.3446,0.9568,0.9598,0.6203,1.2878
Unlabeled,1748,2.0,1.0948,0.869,1.3353,1.1714,0.9329,1.4045,0.6915,0.47,0.9197,1.0007,0.7575,1.2371
Unlabeled,1748,5.0,1.0335,0.8791,1.1819,1.0703,0.9225,1.2303,0.7964,0.6361,0.9497,0.9826,0.8186,1.1397
