class,n,K_pct,p_follow_proxy_ef,p_follow_proxy_ef_lo,p_follow_proxy_ef_hi,ensemble_p_snia_ef,ensemble_p_snia_ef_lo,ensemble_p_snia_ef_hi,best_local_p_snia_ef,best_local_p_snia_ef_lo,best_local_p_snia_ef_hi,random_ef,random_ef_lo,random_ef_hi
Gaia stars,1470,0.5,1.1182,0.5273,1.7521,0.5852,0.1342,1.1953,0.3704,0.0,0.8253,0.985,0.4118,1.6108
Gaia stars,1470,1.0,1.073,0.6633,1.4835,0.695,0.3404,1.0594,0.5081,0.1373,0.8778,0.8666,0.5144,1.2636
Gaia stars,1470,2.0,1.0278,0.7427,1.3024,0.784,0.4831,1.124,0.6302,0.3618,0.9047,0.8803,0.6056,1.1678
Gaia stars,1470,5.0,0.9175,0.7487,1.0939,1.2115,1.0425,1.3841,0.7336,0.5786,0.9128,0.9688,0.7989,1.1471
Gaia variables,76,0.5,4.96,0.0,13.5245,2.699,0.0,8.8302,2.7277,0.0,8.6045,2.2298,0.0,8.0
Gaia variables,76,1.0,4.9877,1.0598,10.116,1.312,0.0,4.5455,2.4637,0.0,6.25,1.3615,0.0,4.5999
Gaia variables,76,2.0,3.9783,1.2816,7.2467,2.4004,0.0,5.4231,2.81,0.6325,5.3571,1.3587,0.0,3.4247
Gaia variables,76,5.0,2.9699,1.4706,4.6917,2.9422,1.47,4.5336,2.642,1.1901,4.2701,1.7729,0.6342,3.2437
SIMBAD Galaxy,194,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.4673,3.5473,12.0015,4.1731,0.9803,8.3355
SIMBAD Galaxy,194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3196,2.7391,8.1226,2.5594,0.5376,4.7625
SIMBAD Galaxy,194,2.0,0.1702,0.0,0.7774,0.003,0.0,0.0,4.7874,2.97,6.7842,1.4514,0.4807,2.8038
SIMBAD Galaxy,194,5.0,0.4625,0.1031,0.9435,0.4917,0.1015,0.9953,3.0768,2.1247,4.1178,1.0044,0.4276,1.5741
SIMBAD AGN/QSO,43,0.5,4.7296,0.0,16.335,1.1666,0.0,8.8889,5.3751,0.0,16.6667,0.0,0.0,0.0
SIMBAD AGN/QSO,43,1.0,2.792,0.0,9.0909,2.4313,0.0,8.0,6.8806,0.0,16.0054,0.0,0.0,0.0
SIMBAD AGN/QSO,43,2.0,2.3622,0.0,6.0024,3.1248,0.0,7.5,3.5474,0.0,7.7778,0.0,0.0,0.0
SIMBAD AGN/QSO,43,5.0,2.5121,0.5882,4.5004,1.8485,0.3704,3.6373,4.0625,1.7143,6.5155,0.6608,0.0,2.0526
EclBin+RRLyrae,20,0.5,19.1734,0.0,50.0,0.0,0.0,0.0,9.6449,0.0,31.5789,0.0,0.0,0.0
EclBin+RRLyrae,20,1.0,15.141,0.0,30.7692,0.0,0.0,0.0,5.0768,0.0,16.6667,0.0,0.0,0.0
EclBin+RRLyrae,20,2.0,9.7023,2.381,19.2308,0.4246,0.0,5.0,3.7961,0.0,11.1111,0.0,0.0,0.0
EclBin+RRLyrae,20,5.0,5.0954,1.4286,9.0909,4.8649,1.1765,8.8889,4.3583,1.0526,8.3333,0.9737,0.0,3.3333
Published SNe,8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Published SNe,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Published SNe,8,2.0,5.0136,0.0,20.0357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Published SNe,8,5.0,5.1463,0.0,12.0125,2.1843,0.0,8.5714,2.419,0.0,8.0,0.0,0.0,0.0
Unlabeled,1748,0.5,0.9054,0.4451,1.4765,1.302,0.8943,1.7566,0.5164,0.1148,0.9335,0.7861,0.3374,1.2731
Unlabeled,1748,1.0,0.9068,0.565,1.236,1.2525,0.9384,1.5754,0.6376,0.3446,0.9568,0.9598,0.6203,1.2878
Unlabeled,1748,2.0,0.9584,0.7184,1.1953,1.2049,0.9395,1.4664,0.6915,0.47,0.9197,1.0007,0.7575,1.2371
Unlabeled,1748,5.0,1.0634,0.9116,1.2219,0.8201,0.6616,0.9666,0.7964,0.6361,0.9497,0.9826,0.8186,1.1397
