class,n,K_pct,p_follow_proxy_ef,p_follow_proxy_ef_lo,p_follow_proxy_ef_hi,ensemble_p_snia_ef,ensemble_p_snia_ef_lo,ensemble_p_snia_ef_hi,best_local_p_snia_ef,best_local_p_snia_ef_lo,best_local_p_snia_ef_hi,random_ef,random_ef_lo,random_ef_hi
Gaia stars,9937,0.5,0.7721,0.5861,0.9536,0.6675,0.4838,0.8624,0.4579,0.2999,0.6358,0.9171,0.7426,1.086
Gaia stars,9937,1.0,0.7991,0.6832,0.9232,0.7752,0.6354,0.9117,0.5405,0.4177,0.6667,0.9102,0.782,1.0381
Gaia stars,9937,2.0,0.7087,0.6201,0.7919,0.8574,0.7754,0.9432,0.584,0.5039,0.6668,0.9558,0.8686,1.0399
Gaia stars,9937,5.0,0.7596,0.7051,0.8132,0.8978,0.8407,0.951,0.6359,0.5847,0.6911,1.0046,0.9493,1.0604
Gaia variables,226,0.5,5.4305,1.6949,9.8361,1.5687,0.0,4.3678,4.1318,0.8929,8.1085,0.0,0.0,0.0
Gaia variables,226,1.0,3.8177,1.5144,6.3832,3.8592,1.4286,6.3725,4.0442,1.7688,6.8632,0.0263,0.0,0.4526
Gaia variables,226,2.0,3.2842,1.7388,4.8894,3.0441,1.5746,4.5678,3.5621,1.9733,5.2139,0.943,0.2174,1.9323
Gaia variables,226,5.0,2.5507,1.6866,3.4694,2.1462,1.4095,2.9289,3.0232,2.1223,3.9835,0.8108,0.3463,1.3209
SIMBAD Galaxy,402,0.5,0.0383,0.0,0.5155,0.0,0.0,0.0,9.5606,6.0147,13.4027,0.9925,0.0,2.5126
SIMBAD Galaxy,402,1.0,0.3131,0.0,1.0026,0.1872,0.0,0.8022,6.6685,4.5444,9.0502,1.0286,0.2392,2.1742
SIMBAD Galaxy,402,2.0,0.7795,0.241,1.4668,0.7594,0.2439,1.3699,4.2042,3.0,5.4617,1.2226,0.5102,2.0048
SIMBAD Galaxy,402,5.0,1.4823,1.0169,2.0102,1.3201,0.8815,1.8273,2.6812,2.0689,3.3945,0.9208,0.5313,1.3521
SIMBAD AGN/QSO,79,0.5,7.4277,0.0,15.6276,4.6091,0.0,11.4968,7.4604,0.0,16.6667,0.0,0.0,0.0
SIMBAD AGN/QSO,79,1.0,4.315,0.0,9.3333,4.9458,1.1628,9.8765,8.761,3.0758,15.6639,0.0529,0.0,1.2199
SIMBAD AGN/QSO,79,2.0,4.5709,1.8287,8.1085,3.1552,0.6494,5.9709,9.7193,5.6962,14.2066,1.2322,0.0,3.2897
SIMBAD AGN/QSO,79,5.0,3.8133,2.1429,5.6766,1.5038,0.4819,2.8244,6.2312,4.2663,8.3957,1.7275,0.5195,3.0593
EclBin+RRLyrae,52,0.5,12.0286,0.0,26.3183,0.0,0.0,0.0,6.5049,0.0,19.2378,0.0,0.0,0.0
EclBin+RRLyrae,52,1.0,9.684,2.4956,18.6047,3.081,0.0,8.8252,7.6758,1.6949,15.6265,0.0,0.0,0.0
EclBin+RRLyrae,52,2.0,5.6986,1.6618,10.1857,4.8348,1.0204,9.2603,5.7022,1.8519,10.4167,0.3316,0.0,2.5
EclBin+RRLyrae,52,5.0,3.8204,1.8175,6.1913,3.2264,1.3333,5.4057,4.3146,2.2725,6.7797,0.7742,0.0,2.0
Published SNe,14,0.5,2.0861,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Published SNe,14,1.0,7.0625,0.0,23.0882,0.0,0.0,0.0,6.7488,0.0,25.0,0.0,0.0,0.0
Published SNe,14,2.0,6.7666,0.0,16.6667,0.5272,0.0,7.1429,7.147,0.0,17.8571,0.0,0.0,0.0
Published SNe,14,5.0,2.8931,0.0,7.1429,1.4085,0.0,5.0,5.638,0.9524,10.7692,1.4768,0.0,5.0
Unlabeled,5164,0.5,1.2897,0.9752,1.6292,1.6007,1.2614,1.9589,1.0508,0.7326,1.3608,1.1435,0.8189,1.4629
Unlabeled,5164,1.0,1.3337,1.1134,1.5641,1.3828,1.1387,1.6326,1.1324,0.9129,1.372,1.1702,0.9388,1.4052
Unlabeled,5164,2.0,1.4696,1.3002,1.6342,1.1915,1.0304,1.3527,1.2685,1.1056,1.436,1.0598,0.9019,1.2066
Unlabeled,5164,5.0,1.3515,1.2517,1.455,1.1158,1.0103,1.2187,1.4127,1.3087,1.5222,0.9832,0.8851,1.0809
